Provinces & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,TMH-MB Market Size,AIS-MB Market Size,DTAC-MB Market Size,TOT-MB Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,Source,Provinces,Category,Metric
"Changwat Nan, 45-54",27.78,62.88,9.34,--,"41,000","41,000","41,000","41,000","12,000","26,000","3,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nan,45-54,Age
"Changwat Nan, 55-64",23.75,67.32,8.92,--,"35,000","35,000","35,000","35,000","8,200","23,000","3,300",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nan,55-64,Age
"Changwat Nan, 65+",23.66,65.85,10.5,--,"19,000","19,000","19,000","19,000","4,700","13,000","2,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nan,65+,Age
"Changwat Ranong, 13-17",27.05,54.26,18.7,--,"11,000","11,000","11,000","11,000","3,100","6,300","2,300",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ranong,13-17,Age
"Changwat Ranong, 18-24",24.77,52.69,22.55,--,"36,000","36,000","36,000","36,000","9,600","19,000","8,700",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ranong,18-24,Age
"Changwat Ranong, 25-34",26.0,54.49,19.51,--,"70,000","70,000","70,000","70,000","18,000","39,000","15,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ranong,25-34,Age
"Changwat Ranong, 35-44",26.33,56.88,16.78,--,"36,000","36,000","36,000","36,000","9,700","21,000","6,200",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ranong,35-44,Age
"Changwat Ranong, 45-54",25.76,62.31,11.93,--,"22,000","22,000","22,000","22,000","5,900","14,000","2,700",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ranong,45-54,Age
"Changwat Ranong, 55-64",20.98,65.82,13.19,--,"14,000","14,000","14,000","14,000","2,900","9,400","1,900",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ranong,55-64,Age
"Changwat Ranong, 65+",24.28,62.09,13.63,--,"9,500","9,500","9,500","9,500","2,300","5,900","1,300",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Ranong,65+,Age
"Changwat Nakhon Phanom, 13-17",33.73,61.02,5.25,--,"30,000","30,000","30,000","30,000","10,000","19,000","1,700",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nakhon Phanom,13-17,Age
"Changwat Nakhon Phanom, 18-24",36.31,57.03,6.66,--,"67,000","67,000","67,000","67,000","26,000","42,000","4,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nakhon Phanom,18-24,Age
"Changwat Nakhon Phanom, 25-34",33.14,60.95,5.91,--,"122,000","122,000","122,000","122,000","42,000","78,000","7,600",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nakhon Phanom,25-34,Age
"Changwat Nakhon Phanom, 35-44",31.51,61.62,6.87,--,"72,000","72,000","72,000","72,000","23,000","46,000","5,100",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nakhon Phanom,35-44,Age
"Changwat Nakhon Phanom, 45-54",25.87,67.29,6.84,--,"58,000","58,000","58,000","58,000","15,000","41,000","4,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nakhon Phanom,45-54,Age
