System,Metric,Category,Area_type,TMH & DTAC-MB MKS,AIS-MB MKS,Total Market Size,PROVINCE_ENG,DISTRICT_EN
All OS,Age,13-17,District,56.67,43.33,600,Mukdahan,Nong Sung
All OS,Age,13-17,District,41.67,58.33,600,Roi Et,Mueang Suang
All OS,Age,13-17,District,32.73,67.27,600,Chaiyaphum,Noen Sa-nga
Android,Age,13-17,District,17.54,28.07,600,Mukdahan,Nong Sung
Android,Age,13-17,District,0,69.57,600,Roi Et,Mueang Suang
Android,Age,13-17,District,0,71.93,600,Chaiyaphum,Noen Sa-nga
iOS,Age,13-17,District,50,50,600,Mukdahan,Nong Sung
iOS,Age,13-17,District,46.88,53.13,600,Roi Et,Mueang Suang
iOS,Age,13-17,District,0,0,600,Chaiyaphum,Noen Sa-nga
All OS,Age,13-17,District,22.64,77.36,610,Chaiyaphum,Phakdi Chumphon
All OS,Age,13-17,District,26.56,73.44,610,Phetchaburi,Nong Ya Plong
All OS,Age,13-17,District,53.66,46.34,610,Ranong,Suk Samran
All OS,Age,13-17,District,61.76,38.24,610,Mukdahan,Wan Yai
Android,Age,13-17,District,0,70,610,Chaiyaphum,Phakdi Chumphon
Android,Age,13-17,District,0,73.81,610,Phetchaburi,Nong Ya Plong
Android,Age,13-17,District,0,63.64,610,Ranong,Suk Samran
Android,Age,13-17,District,0,47.73,610,Mukdahan,Wan Yai
iOS,Age,13-17,District,53.33,46.67,610,Chaiyaphum,Phakdi Chumphon
iOS,Age,13-17,District,0,100,610,Phetchaburi,Nong Ya Plong
iOS,Age,13-17,District,0,0,610,Ranong,Suk Samran
iOS,Age,13-17,District,100,0,610,Mukdahan,Wan Yai
All OS,Age,13-17,District,51.28,48.72,620,Kalasin,Na Khu
All OS,Age,13-17,District,59.73,40.28,620,Samut Prakan,Phra Pradaeng
All OS,Age,13-17,District,70.69,29.31,620,Ubon Ratchathani,Thung Si Udom
Android,Age,13-17,District,0,60,620,Kalasin,Na Khu
Android,Age,13-17,District,46,30,620,Samut Prakan,Phra Pradaeng
Android,Age,13-17,District,26.32,35.09,620,Ubon Ratchathani,Thung Si Udom
iOS,Age,13-17,District,0,0,620,Kalasin,Na Khu
iOS,Age,13-17,District,52.17,47.83,620,Samut Prakan,Phra Pradaeng
iOS,Age,13-17,District,0,0,620,Ubon Ratchathani,Thung Si Udom
All OS,Age,13-17,District,31.43,68.57,630,Kalasin,Sam Chai
All OS,Age,13-17,District,40.26,59.74,630,Si Sa Ket,Phu Sing
All OS,Age,13-17,District,42.11,57.89,630,Saraburi,Wang Muang
All OS,Age,13-17,District,18.92,81.08,630,Tak,Wang Chao
Android,Age,13-17,District,0,65,630,Kalasin,Sam Chai
Android,Age,13-17,District,0,61.82,630,Si Sa Ket,Phu Sing
Android,Age,13-17,District,0,67.35,630,Saraburi,Wang Muang
Android,Age,13-17,District,0,70.59,630,Tak,Wang Chao
iOS,Age,13-17,District,0,100,630,Kalasin,Sam Chai
iOS,Age,13-17,District,0,100,630,Si Sa Ket,Phu Sing
iOS,Age,13-17,District,0,100,630,Saraburi,Wang Muang
iOS,Age,13-17,District,0,0,630,Tak,Wang Chao
All OS,Age,13-17,District,45,55,640,Phetchabun,Nam Nao
Android,Age,13-17,District,0,69.77,640,Phetchabun,Nam Nao
iOS,Age,13-17,District,0,100,640,Phetchabun,Nam Nao
All OS,Age,13-17,District,36.62,63.38,650,Chaiyaphum,Sap Yai
All OS,Age,13-17,District,23.88,76.12,650,Nakhon Si Thammarat,Lan Saka
Android,Age,13-17,District,0,45.28,650,Chaiyaphum,Sap Yai
Android,Age,13-17,District,0,100,650,Nakhon Si Thammarat,Lan Saka
iOS,Age,13-17,District,0,0,650,Chaiyaphum,Sap Yai
iOS,Age,13-17,District,0,100,650,Nakhon Si Thammarat,Lan Saka
All OS,Age,13-17,District,33.33,66.67,660,Phatthalung,Srinagarindra
